age,sex,edu,race,income,us_residency,wb,mind,belong,efficacy,support,idea,soc_med,npi,moa_ach,moa_import
20,female,currentlyenrolled,white,"200-999,999",yes,4.5,4,3.7,3.1,60,3,34,4,33,58
18,female,currentlyenrolled,white,"40-59,999",yes,1,2.666666667,4.9,2,36,3.625,53,3,29,60
18,female,currentlyenrolled,white,"60-79,999",yes,3,3.733333333,3.3,2.6,51,3.25,27,8,32,40
21,other,currentlyenrolled,white,"20-39,999",yes,3,3.466666667,4.4,3.1,66,3.75,34,4,37,50
20,female,currentlyenrolled,white,"80-99,999",yes,4.666666667,2.4,4.7,3,69,4,31,0,32,60
20,female,currentlyenrolled,white,"under20,000",yes,4.833333333,3.4,4.6,2.8,59,4,36,5,37,65
20,female,currentlyenrolled,white,"under20,000",yes,4.333333333,3.2,3.6,2.2,75,3.625,39,4,38,49
19,female,currentlyenrolled,"1,3","100-199,999",yes,4.5,4,2.9,3.5,70,3.25,23,5,34,41
20,female,currentlyenrolled,white,"20-39,999",no,5,5.266666667,2.9,3.1,45,3.5,32,0,36,47
20,male,currentlyenrolled,Asian-Pacific,not say,yes,1.666666667,2.933333333,3.7,2.5,35,3.25,23,0,34,58
20,male,currentlyenrolled,white,"200-999,999",yes,5.333333333,4.266666667,2.7,3,64,3.375,25,0,38,47
22,female,currentlyenrolled,white,not say,yes,5,4.266666667,3.1,2.7,70,3.25,33,4,35,56
20,female,currentlyenrolled,white,not say,yes,4.5,3.6,3.2,2.6,57,3.375,30,1,34,47
19,female,currentlyenrolled,white,"40-59,999",yes,3.5,3.666666667,3.7,3,55,3.625,40,1,33,42
19,female,currentlyenrolled,white,"under20,000",yes,5,4.333333333,3.6,3,55,3.375,30,4,33,52
20,male,currentlyenrolled,"1,3","80-99,999",yes,3.833333333,3,3.1,2.9,66,3.875,32,1,35,68
19,female,currentlyenrolled,white,"80-99,999",yes,4.666666667,2.333333333,3.2,3.7,45,4,36,0,36,63
21,female,currentlyenrolled,Hispanic,"under20,000",yes,6,4.533333333,3.2,3.4,72,4,32,2,40,51
18,other,currentlyenrolled,"1,6",not say,yes,3.666666667,3,4,2.4,45,3.5,41,2,29,57
18,female,currentlyenrolled,"1,3","20-39,999",yes,4.166666667,3.133333333,4.2,3,66,3.875,41,1,50,54
20,male,currentlyenrolled,white,not say,yes,2,4.4,2.5,2.9,50,3.25,27,3,30,55
20,male,currentlyenrolled,"1,3","80-99,999",yes,5.166666667,3.933333333,4.1,2.8,62,3.875,41,9,36,63
20,male,currentlyenrolled,Asian-Pacific,"40-59,999",yes,2.833333333,2.533333333,4.6,2.6,41,4,36,1,31,66
18,female,currentlyenrolled,Asian-Pacific,"100-199,999",yes,4.833333333,2.8,3.7,3.6,69,4,36,6,34,54
21,male,currentlyenrolled,white,"80-99,999",yes,4.833333333,4.4,4.1,3,72,3.25,27,4,31,59
19,female,currentlyenrolled,white,"200-999,999",yes,3.833333333,3.133333333,3.6,2.6,62,4,36,4,34,62
21,male,currentlyenrolled,"1,5","40-59,999",yes,5.833333333,4.2,2.3,3.4,73,2.75,30,3,0,38
18,other,currentlyenrolled,Asian-Pacific,not say,yes,5.666666667,4.466666667,3.5,3.9,49,3.375,41,4,34,54
20,female,currentlyenrolled,white,"60-79,999",yes,5.666666667,4.133333333,3.6,3.2,73,4,47,8,38,57
19,female,currentlyenrolled,"1,3","under20,000",yes,5.333333333,3.066666667,3.6,3,69,3.375,30,1,31,54
18,male,currentlyenrolled,white,"100-199,999",yes,4.5,2.533333333,4.5,2.9,70,3.625,52,1,39,67
19,other,currentlyenrolled,"1,3","60-79,999",yes,4.166666667,1.866666667,3,3.5,66,3.625,38,8,33,60
20,male,currentlyenrolled,other,not say,no,4.166666667,2.533333333,4.9,2.9,53,3.875,22,3,31,59
18,female,currentlyenrolled,white,"60-79,999",yes,2,3.333333333,4.3,2.5,57,2.75,35,8,34,79
18,male,currentlyenrolled,Asian-Pacific,not say,yes,2.833333333,2.6,3.6,2.1,57,4,41,1,31,62
18,male,currentlyenrolled,"1,6","200-999,999",yes,5,3.6,1.8,3.4,52,2.625,19,3,37,57
20,female,currentlyenrolled,Asian-Pacific,not say,no,4.833333333,3.466666667,2.6,3,63,4,32,4,32,48
18,female,currentlyenrolled,white,"80-99,999",yes,2.166666667,2.8,3.8,2.4,76,4,32,1,35,48
19,female,currentlyenrolled,white,"20-39,999",yes,6,4.4,3.6,3.2,68,3.625,26,1,41,50
20,female,currentlyenrolled,"1,6","100-199,999",yes,5.166666667,3.333333333,3.3,3,60,3.75,29,5,41,54
18,female,currentlyenrolled,Asian-Pacific,not say,no,2.166666667,2.8,2.8,3.1,79,3.5,32,2,43,58
19,female,currentlyenrolled,white,"80-99,999",yes,5.166666667,2.533333333,4.4,2.6,76,3.875,29,1,33,64
20,other,currentlyenrolled,white,"80-99,999",yes,5,3.533333333,4.1,2.5,68,3.5,38,5,35,62
20,other,currentlyenrolled,Hispanic,"under20,000",yes,3.166666667,3,3.7,2.9,48,3.375,19,0,32,57
21,female,currentlyenrolled,"1,6","40-59,999",no,2.666666667,2.666666667,3.5,3.5,74,2.875,32,0,39,51
22,male,currentlyenrolled,white,"under20,000",yes,3.166666667,5.066666667,4.5,3.4,56,3.625,23,11,33,61
19,other,currentlyenrolled,white,"under20,000",yes,2.333333333,2.4,3.4,2.7,39,3.125,38,5,38,49
19,male,currentlyenrolled,Asian-Pacific,"100-199,999",yes,4.5,3.666666667,2.7,3.6,55,3.125,24,4,35,62
18,female,currentlyenrolled,Asian-Pacific,"200-999,999",yes,2.5,3.466666667,3.1,2.8,53,3.125,26,1,34,53
19,female,currentlyenrolled,Asian-Pacific,"under20,000",yes,3.666666667,2.8,2.4,3,65,3.375,41,7,37,63
21,female,currentlyenrolled,"1,4",not say,yes,5,3.333333333,4.1,2.9,71,3.625,29,3,36,47
22,female,currentlyenrolled,Asian-Pacific,not say,yes,1.833333333,4.333333333,3.9,2.8,71,3.75,29,3,34,65
21,female,currentlyenrolled,"1,3",not say,yes,3.666666667,2.8,4,2.7,72,3.125,37,4,33,44
20,other,currentlyenrolled,white,"200-999,999",yes,2.166666667,3.733333333,3.4,2.9,43,3.25,31,12,31,39
18,female,currentlyenrolled,Asian-Pacific,"100-199,999",yes,6,4.666666667,1.2,3.6,73,3.625,32,6,42,52
18,female,currentlyenrolled,white,"200-999,999",yes,6.166666667,3.733333333,2.5,4,72,3.875,40,3,34,65
21,female,currentlyenrolled,white,not say,yes,4.5,2.733333333,3.3,2.7,82,3.25,38,6,36,57
23,male,currentlyenrolled,other,"20-39,999",yes,1.166666667,2.066666667,3.2,4,58,2.875,19,1,40,46
18,female,currentlyenrolled,"1,3,5","100-199,999",yes,1.666666667,1.466666667,4,2.7,35,3.75,43,13,32,55
19,male,currentlyenrolled,white,not say,yes,4.166666667,3.866666667,3.6,2.8,67,3.25,28,1,36,61
18,female,currentlyenrolled,white,"40-59,999",yes,5.833333333,4.6,2.4,3.6,60,3.125,34,2,41,57
19,female,currentlyenrolled,white,"200-999,999",yes,2.666666667,3,4.6,2.3,58,3.875,45,3,31,51
18,female,currentlyenrolled,"1,3","20-39,999",yes,3.833333333,3.733333333,4.4,3.4,47,3.75,26,1,40,68
21,female,currentlyenrolled,white,not say,yes,3.833333333,3.066666667,3.8,2.9,72,3.25,33,4,41,66
21,female,currentlyenrolled,white,"60-79,999",yes,5.5,4.6,4.1,3.3,73,3.5,35,8,37,54
19,female,currentlyenrolled,"1,3","under20,000",yes,2,2.866666667,3.6,2.7,56,3.625,30,3,32,57
22,female,currentlyenrolled,white,not say,yes,2.5,2.266666667,3.6,2.4,76,3.375,34,0,35,67
19,female,currentlyenrolled,Hispanic,"60-79,999",yes,4.166666667,4.4,4.3,2.9,73,3.625,38,2,35,57
20,female,currentlyenrolled,white,"200-999,999",yes,2.166666667,2.466666667,3.4,2.5,65,3.375,30,2,34,58
22,male,currentlyenrolled,white,"100-199,999",yes,3.333333333,2.666666667,3.8,3.7,76,4,32,5,34,60
19,female,currentlyenrolled,Asian-Pacific,"100-199,999",yes,2.333333333,3.133333333,3.7,3.1,39,3.875,29,1,36,68
19,female,currentlyenrolled,Hispanic,not say,yes,4.333333333,3.2,3.4,2.9,81,3.875,54,2,39,68
20,male,currentlyenrolled,white,"80-99,999",yes,5.5,2.866666667,2,3.5,63,3.5,44,10,36,66
27,male,currentlyenrolled,AfricanAmerican,"40-59,999",yes,1.166666667,3.933333333,3.3,2.5,53,3,11,1,38,47
19,female,currentlyenrolled,"1,5","20-39,999",yes,4.333333333,3.533333333,2.4,2.7,52,3.75,29,1,39,65
26,male,currentlyenrolled,Hispanic,not say,yes,3.5,2.933333333,2.6,3.8,44,3.375,36,1,40,64
18,male,currentlyenrolled,Hispanic,"80-99,999",yes,5.166666667,4.333333333,2.6,2.7,71,3.25,31,10,28,77
26,male,currentlyenrolled,Hispanic,"20-39,999",yes,4.666666667,3.6,1.9,3.5,72,2.5,13,3,47,68
18,female,currentlyenrolled,Hispanic,not say,yes,4.333333333,3.2,2.7,3,63,3.5,42,4,34,67
18,male,currentlyenrolled,white,"100-199,999",yes,4.333333333,3.733333333,2.8,2.8,66,3.625,39,7,32,39
26,male,currentlyenrolled,white,"20-39,999",yes,3.333333333,3.266666667,2.1,2.6,42,2.5,27,2,48,68
19,male,currentlyenrolled,"1,3","under20,000",yes,6.333333333,4.8,3.8,3.1,84,3.375,18,0,34,78
18,female,currentlyenrolled,Hispanic,"40-59,999",yes,4.166666667,4.666666667,3.9,2.5,83,3.25,33,4,33,61
18,male,currentlyenrolled,Asian-Pacific,"40-59,999",yes,3,3.466666667,3.6,2.6,56,3.875,42,2,48,56
18,male,currentlyenrolled,"1,2","100-199,999",yes,3,2.866666667,2.6,3,64,3.75,38,9,32,69
19,male,currentlyenrolled,white,"200-999,999",yes,1.333333333,3.133333333,3.7,2.5,41,3.5,38,3,33,43
28,male,currentlyenrolled,Hispanic,"20-39,999",yes,2.166666667,4,2.2,3.1,13,3.25,11,2,40,70
18,male,currentlyenrolled,Hispanic,"100-199,999",yes,5.333333333,4.466666667,3.3,3.1,75,3.375,24,4,36,51
20,female,currentlyenrolled,Hispanic,"60-79,999",yes,4.666666667,3.4,3.4,3.7,48,3.75,40,8,41,77
20,male,currentlyenrolled,AfricanAmerican,"20-39,999",yes,6.666666667,4.666666667,2.7,3.8,66,3.5,45,5,44,36
19,female,currentlyenrolled,AfricanAmerican,"20-39,999",yes,4.333333333,4.266666667,2.3,3.4,77,3.5,17,2,42,66
20,female,currentlyenrolled,Hispanic,"40-59,999",yes,3.333333333,3.6,3.3,2.9,55,3.75,28,0,46,68
19,female,currentlyenrolled,white,not say,yes,5.333333333,3.866666667,2.5,2.9,76,3.125,45,5,35,68
19,male,currentlyenrolled,"1,4","under20,000",yes,5.833333333,4.466666667,3,3.6,79,3.625,26,1,46,60
22,female,currentlyenrolled,Hispanic,"60-79,999",yes,5.5,4.666666667,3.3,3.7,70,3.75,21,6,40,74
19,male,currentlyenrolled,Asian-Pacific,not say,yes,2.166666667,3.533333333,4.1,2.9,62,3.5,41,1,37,73
19,female,currentlyenrolled,other,"80-99,999",yes,6,4.533333333,1.9,3,72,3.75,34,2,38,68
19,female,currentlyenrolled,white,"60-79,999",yes,3.666666667,5.133333333,3.3,3.3,54,3.875,11,2,39,63
19,female,currentlyenrolled,Asian-Pacific,not say,yes,3,3.6,2.6,2.8,59,3.375,42,3,33,69
18,male,currentlyenrolled,Hispanic,"40-59,999",yes,4.666666667,4.533333333,2.5,2.8,65,3.75,27,1,38,68
21,female,currentlyenrolled,Hispanic,"under20,000",yes,4.833333333,5.133333333,3.7,3.8,69,4,37,1,45,76
20,female,currentlyenrolled,Hispanic,"20-39,999",yes,6.5,4.266666667,1.9,3.1,54,3.5,36,3,39,73
25,male,currentlyenrolled,"1,2,3","20-39,999",yes,4.833333333,3.866666667,1.3,3.5,76,3.75,29,10,50,54
26,female,currentlyenrolled,"1,3","under20,000",yes,6.166666667,4.866666667,2.4,3.6,73,3.625,11,4,50,75
19,female,currentlyenrolled,AfricanAmerican,"100-199,999",yes,3.166666667,4.866666667,2.9,2.7,70,3.25,40,0,35,58
26,female,currentlyenrolled,Hispanic,"60-79,999",NA,4.666666667,5.6,2.7,3.3,51,3.125,11,0,43,71
20,male,currentlyenrolled,Hispanic,"40-59,999",yes,2,4.2,2.6,3,41,4,14,0,33,68
27,female,currentlyenrolled,Hispanic,"40-59,999",yes,5.833333333,4.466666667,2.1,3.7,81,3.125,28,3,47,72
25,male,currentlyenrolled,Hispanic,"20-39,999",yes,3.666666667,3.666666667,3.7,3.6,81,3.75,33,3,41,72
22,female,currentlyenrolled,white,"40-59,999",yes,2.166666667,4.466666667,3.8,3.1,51,4,44,4,42,65
24,female,currentlyenrolled,Hispanic,not say,yes,4.166666667,2.333333333,2.2,3.6,78,3.625,43,4,44,70
38,female,currentlyenrolled,Hispanic,"20-39,999",yes,5.5,5.733333333,1.7,3.3,84,1.75,17,1,51,69
24,male,currentlyenrolled,AfricanAmerican,"under20,000",yes,7,2.933333333,3.1,2.4,39,4,32,6,38,36
20,female,currentlyenrolled,Hispanic,"40-59,999",yes,6,4.866666667,2.8,3.6,78,3.75,27,2,41,72
25,female,currentlyenrolled,white,"20-39,999",yes,3.166666667,3.133333333,3.9,2.9,53,3.625,42,4,37,72
23,male,currentlyenrolled,"1,3","80-99,999",yes,4,5,2.9,3.8,75,3.875,20,4,45,76
19,female,currentlyenrolled,Hispanic,"40-59,999",yes,3.833333333,4.4,3,3.4,51,3.75,44,6,37,69
21,male,currentlyenrolled,"1,3,5","20-39,999",yes,4.333333333,4.666666667,1.5,4,40,3.125,32,4,39,73
20,female,currentlyenrolled,"1,3,4","under20,000",yes,4.333333333,2.666666667,2,3.2,37,3.625,11,3,31,65
18,male,currentlyenrolled,Hispanic,"60-79,999",yes,5,4,2.4,3.1,67,3.625,34,5,40,69
29,male,currentlyenrolled,white,"under20,000",yes,4,3.133333333,3.7,3.8,60,3.375,38,2,36,73
19,male,currentlyenrolled,"1,3","20-39,999",yes,4.833333333,3.466666667,3.3,2.8,64,3.375,42,4,32,52
18,female,currentlyenrolled,Hispanic,"20-39,999",yes,4.166666667,4.6,2.6,3.2,56,3.75,48,4,39,80
18,female,currentlyenrolled,"1,2,3",not say,yes,4.166666667,4,4,2.9,68,3.875,32,2,34,69
23,male,currentlyenrolled,Hispanic,"60-79,999",yes,4.666666667,3.933333333,3.1,3,77,3.875,38,2,36,60
18,female,currentlyenrolled,Hispanic,"under20,000",no,3.833333333,3.2,2.4,3.3,61,3.625,41,4,33,69
18,male,currentlyenrolled,Hispanic,"60-79,999",yes,5.5,4.8,3.9,3.5,61,3.75,40,3,34,70
33,female,currentlyenrolled,Asian-Pacific,"40-59,999",yes,2.833333333,5.266666667,2.9,3.7,63,4,28,3,54,71
21,female,currentlyenrolled,Hispanic,"40-59,999",yes,4.5,2.733333333,3.8,2.9,71,3.875,28,2,35,77
19,male,currentlyenrolled,"1,3","under20,000",yes,2.666666667,3.866666667,3.2,3.1,65,3.875,22,8,39,71
21,male,currentlyenrolled,"1,3","under20,000",yes,2.5,2.533333333,3.6,3.1,63,3.5,25,4,36,64
19,female,currentlyenrolled,"1,3,5",not say,yes,3.833333333,2.666666667,2,2.9,61,3.875,40,3,32,56
20,female,currentlyenrolled,Hispanic,not say,yes,6,3.066666667,3.2,3.8,79,3.875,35,5,56,77
18,male,currentlyenrolled,Hispanic,"80-99,999",yes,4.666666667,3.4,2.9,3,62,3.875,46,3,32,68
22,male,currentlyenrolled,AfricanAmerican,"100-199,999",yes,1,3.4,1.6,3,40,3.25,18,0,31,56
20,female,currentlyenrolled,Hispanic,"100-199,999",yes,6.333333333,4.2,2.1,3.7,72,3.625,33,7,35,63
20,female,currentlyenrolled,other,"under20,000",yes,3.333333333,3.4,4,3.6,69,3.625,37,2,45,77
19,female,currentlyenrolled,AfricanAmerican,"under20,000",yes,1,3.6,4.6,3.5,12,3.375,34,5,33,72
40,female,currentlyenrolled,AfricanAmerican,"40-59,999",yes,2,3,3,3.2,70,2.5,34,3,53,71
24,female,currentlyenrolled,"1,4",not say,no,3.5,3.466666667,4.7,3.2,63,3.5,31,5,39,74
18,female,currentlyenrolled,Hispanic,not say,NA,3,4.466666667,2.8,2.7,57,3.25,28,5,38,70
24,female,currentlyenrolled,Hispanic,"40-59,999",yes,6.5,4.4,3.9,2.7,84,3.5,36,4,41,62
18,female,currentlyenrolled,white,not say,yes,1.333333333,2.8,2.8,3.3,38,4,29,2,34,53
18,female,currentlyenrolled,Hispanic,"40-59,999",yes,2.5,3.933333333,3.2,3.4,60,3.75,28,2,31,59
18,male,currentlyenrolled,AfricanAmerican,not say,yes,3.333333333,3.2,3.4,3.3,40,2.5,32,3,35,49
26,male,currentlyenrolled,Asian-Pacific,"under20,000",yes,5.5,5.2,1.8,4,82,2.25,27,4,41,69
18,female,currentlyenrolled,Hispanic,"80-99,999",yes,4.666666667,3.333333333,2.9,3.5,78,3.625,42,7,35,73
19,male,currentlyenrolled,Asian-Pacific,"under20,000",yes,4.333333333,4.266666667,2.4,3.4,65,3.5,36,4,42,57
20,female,currentlyenrolled,other,"200-999,999",yes,6.333333333,4.466666667,2.9,3.1,77,3.625,34,5,35,58
19,female,currentlyenrolled,"1,3",not say,yes,4,3.8,2.6,3.3,71,3.125,19,4,34,58
21,female,currentlyenrolled,other,"20-39,999",yes,5.333333333,3.2,3.9,3,74,3.375,45,5,34,62
18,male,currentlyenrolled,other,not say,yes,4,3.533333333,3.5,2.9,64,3.375,38,1,32,78
22,female,currentlyenrolled,Asian-Pacific,"20-39,999",yes,6.166666667,5.2,2,3.5,83,3.375,48,6,33,58
21,female,currentlyenrolled,"1,3","60-79,999",yes,3.166666667,3.933333333,2.9,2.9,59,3.5,41,8,37,74
22,female,currentlyenrolled,Hispanic,"under20,000",yes,5.166666667,2.8,3.3,3.1,80,4,27,3,43,59
19,female,currentlyenrolled,Hispanic,"under20,000",yes,3.333333333,2.733333333,2.3,3.7,81,3.875,37,8,40,52
18,female,currentlyenrolled,Hispanic,"100-199,999",yes,5,3.666666667,4,3.1,63,3.25,40,7,28,75
21,male,currentlyenrolled,Hispanic,"20-39,999",yes,4.166666667,3.933333333,3.6,3.3,77,4,43,2,47,58
24,female,currentlyenrolled,Hispanic,"20-39,999",yes,3.333333333,3,3.1,3.7,62,3.5,44,1,34,63
20,male,currentlyenrolled,Asian-Pacific,not say,yes,4.333333333,3.333333333,1.6,3.3,55,3.625,23,4,32,71
19,female,currentlyenrolled,Hispanic,"40-59,999",yes,4.5,2.733333333,2.4,3.8,82,3.75,36,1,36,68
22,female,currentlyenrolled,Hispanic,not say,yes,2.333333333,4.666666667,2.9,2.5,52,3.625,32,1,34,67
18,female,currentlyenrolled,Hispanic,"40-59,999",yes,5.333333333,4.266666667,2.5,3.3,84,3.5,32,4,42,79
18,female,currentlyenrolled,white,"under20,000",yes,5.666666667,2.2,3,3,53,4,41,8,41,59
18,female,currentlyenrolled,white,"100-199,999",yes,3.333333333,4.733333333,3,3.8,70,4,47,7,34,64
20,female,currentlyenrolled,Asian-Pacific,"under20,000",yes,4.666666667,3.8,2.9,3.2,50,3.5,45,7,36,61
21,female,currentlyenrolled,"1,3","80-99,999",yes,6.666666667,5.666666667,2.3,3.5,84,3.75,15,5,29,53
24,female,currentlyenrolled,white,"under20,000",yes,4,2.8,4,2.8,71,3,38,1,48,71
18,female,currentlyenrolled,white,"40-59,999",yes,6.333333333,3.866666667,2.2,3.1,77,3.75,24,3,39,63
18,female,currentlyenrolled,white,"60-79,999",yes,5,3.2,2.9,3,76,3.75,35,2,39,77
19,other,currentlyenrolled,white,"40-59,999",yes,5.5,4.8,2.3,3.7,78,3.75,17,4,41,63
18,female,currentlyenrolled,AfricanAmerican,"80-99,999",yes,4.5,3.866666667,2.9,3.9,75,3.875,44,9,40,67
18,male,currentlyenrolled,white,not say,yes,4.5,3.4,3.4,2.8,66,3.625,32,6,34,77
19,female,currentlyenrolled,white,not say,yes,5.833333333,4.4,3.9,2.6,70,3.75,42,0,38,80
19,female,currentlyenrolled,Hispanic,"20-39,999",yes,5.333333333,4.066666667,3.1,3,61,3.25,37,9,36,68
18,female,currentlyenrolled,white,not say,yes,5.333333333,4,3.1,3,48,3.875,32,3,35,78
18,female,currentlyenrolled,white,"60-79,999",yes,3.666666667,4.2,3.1,2.6,65,3.25,35,2,36,67
18,female,currentlyenrolled,white,"100-199,999",yes,7,3.4,3.4,3.9,80,4,44,3,37,75
18,male,currentlyenrolled,"1,3",not say,yes,3.5,2.533333333,3.7,2.1,46,3.25,20,0,34,60
18,female,currentlyenrolled,Asian-Pacific,"40-59,999",yes,4.5,2.333333333,3.2,3,64,3.625,38,2,39,60
18,female,currentlyenrolled,white,not say,yes,2,3.533333333,2.9,2.8,41,2.75,24,4,34,48
19,female,currentlyenrolled,white,"60-79,999",yes,5.666666667,4.533333333,2.4,3.3,84,3.75,28,2,39,62
21,female,currentlyenrolled,white,"100-199,999",yes,3.833333333,3.666666667,4.6,2.8,58,4,30,0,38,68
19,female,currentlyenrolled,white,"60-79,999",yes,5.666666667,3.666666667,3.6,3.7,71,3.875,42,1,36,68
19,female,currentlyenrolled,AfricanAmerican,"40-59,999",yes,4.333333333,4.4,3.1,2.8,63,3.75,27,4,51,61
18,female,currentlyenrolled,white,"20-39,999",yes,5.5,2.6,3.5,3,72,3.875,39,2,40,77
18,female,currentlyenrolled,white,"40-59,999",yes,4.5,3.466666667,3.4,3,84,4,41,1,30,78
18,female,currentlyenrolled,white,"40-59,999",yes,6.166666667,5.2,2.5,4,82,2.875,35,6,39,77
18,female,currentlyenrolled,white,"60-79,999",yes,4.666666667,3,3.3,3,61,3,33,0,41,63
18,female,currentlyenrolled,white,"20-39,999",yes,5.666666667,4.133333333,4.2,3.5,84,4,41,2,43,69
18,female,currentlyenrolled,other,"under20,000",yes,2.833333333,4.6,3.2,3.8,46,3.375,22,5,42,55
18,male,currentlyenrolled,white,not say,yes,5.166666667,2.733333333,3,3.2,69,3.25,31,4,38,68
18,female,currentlyenrolled,AfricanAmerican,"under20,000",yes,1.5,1.2,4.4,2.7,23,4,33,3,33,63
19,female,currentlyenrolled,white,not say,yes,5.666666667,3.466666667,2.7,3.3,66,3.5,31,3,43,68
19,female,currentlyenrolled,white,"80-99,999",yes,2.666666667,1.466666667,2.8,3.9,84,3.875,52,4,52,59
18,female,currentlyenrolled,white,"80-99,999",yes,6,2.933333333,3,3.2,69,3.875,44,4,33,56
18,female,currentlyenrolled,white,"40-59,999",yes,3.666666667,3.266666667,3.4,2.2,71,3.625,39,1,33,63
18,female,currentlyenrolled,Hispanic,"60-79,999",yes,4.333333333,4.2,3.4,2.8,68,3.625,33,2,31,69
18,female,currentlyenrolled,AfricanAmerican,"20-39,999",yes,4.333333333,2.266666667,3.7,3.7,79,3.75,51,4,34,41
21,male,currentlyenrolled,Hispanic,"40-59,999",yes,4.833333333,3.6,2.9,3.4,73,3.375,50,2,43,60
19,male,currentlyenrolled,white,"60-79,999",yes,5.5,4,3.4,3.4,80,4,51,3,32,74
21,female,currentlyenrolled,AfricanAmerican,"under20,000",yes,2.5,3,3.8,4,82,4,49,10,34,72
18,female,currentlyenrolled,white,"100-199,999",yes,4.833333333,3.466666667,3.7,2.7,66,3.875,44,6,33,77
23,female,currentlyenrolled,AfricanAmerican,NA,yes,5.166666667,4.2,3.2,3,64,3.375,34,5,40,59
46,male,currentlyenrolled,AfricanAmerican,"under20,000",yes,1.666666667,1.733333333,4.2,1.8,18,3.375,25,2,44,47
18,female,currentlyenrolled,white,NA,NA,4.833333333,3.466666667,4.2,2.6,69,3.75,51,3,36,78
18,female,currentlyenrolled,white,"100-199,999",yes,5.5,3.4,2.4,3.9,66,3.875,39,6,40,72
23,female,currentlyenrolled,white,"under20,000",yes,2.666666667,2.333333333,2.4,2.8,73,3.375,31,1,41,70
18,female,currentlyenrolled,white,"80-99,999",yes,6.333333333,3.133333333,3.4,3.3,84,3.875,32,2,35,75
18,male,currentlyenrolled,Hispanic,"20-39,999",yes,2.833333333,3.733333333,2.3,2.9,48,3.25,11,0,31,52
18,female,currentlyenrolled,white,"40-59,999",yes,1.5,3.2,3.8,3,50,3.5,11,0,37,80
19,male,currentlyenrolled,other,not say,yes,6,5.4,2.7,3.4,70,3.375,19,5,43,74
18,female,currentlyenrolled,white,"100-199,999",yes,6.833333333,1.933333333,4.6,4,84,4,50,6,43,73
19,female,currentlyenrolled,white,"60-79,999",yes,4.666666667,3.733333333,3.2,2.6,73,3.5,28,3,36,71
18,male,currentlyenrolled,white,"100-199,999",yes,6,3.2,3.1,2.9,59,3,39,3,33,64
30,female,currentlyenrolled,AfricanAmerican,"under20,000",yes,3.166666667,3.933333333,2.8,2.7,64,3,35,4,53,65
20,female,currentlyenrolled,white,"under20,000",yes,5,4.333333333,3.2,2.9,83,3.75,38,1,37,74
18,female,currentlyenrolled,white,"100-199,999",yes,5.833333333,3.733333333,3.9,3,73,3.625,26,6,37,52
18,female,currentlyenrolled,white,"100-199,999",yes,2.5,2.333333333,4.6,2.6,63,3.75,38,3,39,58
18,female,currentlyenrolled,other,"100-199,999",yes,6,3,3.2,3.5,74,3.625,37,6,36,76
20,female,currentlyenrolled,white,"100-199,999",yes,6.166666667,3.266666667,3.2,2.7,76,4,17,0,36,78
20,male,currentlyenrolled,AfricanAmerican,not say,yes,6,3.666666667,2.8,3.2,62,3.5,38,8,44,66
18,female,currentlyenrolled,white,"20-39,999",yes,5.166666667,3.8,3.8,3.2,84,4,39,3,42,74
18,male,currentlyenrolled,white,not say,yes,5.666666667,3.8,2.4,3.7,79,3.5,19,3,42,67
18,female,currentlyenrolled,white,"100-199,999",yes,5,2.666666667,4.7,2.8,84,3.875,50,6,27,74
18,female,currentlyenrolled,AfricanAmerican,not say,yes,3.5,2.266666667,3.6,3,79,3.25,41,2,42,68
18,female,currentlyenrolled,white,"20-39,999",yes,5.166666667,3.266666667,3.6,3.1,61,3.75,43,6,32,66
18,female,currentlyenrolled,"1,5","100-199,999",yes,3,4.066666667,3.1,3.1,79,4,52,8,36,64
20,female,currentlyenrolled,"1,2,3,4,5","under20,000",yes,5.166666667,1.933333333,3.1,2.9,64,4,29,3,58,70
18,female,currentlyenrolled,white,not say,yes,4.333333333,3.266666667,2.8,3,69,3.5,35,3,39,70
18,female,currentlyenrolled,white,"80-99,999",yes,4.166666667,3.133333333,4.3,3.3,75,3.875,45,7,35,77
19,female,currentlyenrolled,white,"100-199,999",yes,4,3,3,2.8,48,4,33,5,60,80
18,female,currentlyenrolled,white,"under20,000",yes,3.333333333,3.866666667,3.4,2.9,65,4,42,3,45,70
18,male,currentlyenrolled,AfricanAmerican,not say,yes,3.5,3,3.4,3.5,69,3.75,43,5,33,68
18,female,currentlyenrolled,white,"60-79,999",yes,6,3.2,4.1,3.5,60,3.875,37,1,39,66
19,female,currentlyenrolled,white,not say,yes,4.5,3.866666667,3.7,2.3,84,3.875,29,0,38,76
18,female,currentlyenrolled,white,"100-199,999",yes,4.833333333,2.733333333,4.5,4,80,4,44,5,35,74
18,male,currentlyenrolled,AfricanAmerican,not say,yes,6.5,4.733333333,3,3.3,84,3.625,55,7,44,76
20,female,currentlyenrolled,"1,5","under20,000",yes,4.5,4.066666667,3.6,3.1,72,3.25,38,0,39,69
18,female,currentlyenrolled,white,not say,yes,2.333333333,1.866666667,4.6,2.8,73,4,46,6,38,66
18,female,currentlyenrolled,AfricanAmerican,not say,yes,4.833333333,2.866666667,3.6,3,70,3,29,0,34,58
21,female,currentlyenrolled,Asian-Pacific,not say,yes,5,2.666666667,4.5,2.8,72,3,41,4,60,76
